loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
30.691246032714844,1743409420,,False,1,0b3dd_00007,2025-03-31_04-23-40,19.394983291625977,19.394983291625977,2575297,della-l04g13,172.17.6.173,19.394983291625977,1
14.791647911071777,1743409423,,False,2,0b3dd_00007,2025-03-31_04-23-43,2.597240447998047,21.992223739624023,2575297,della-l04g13,172.17.6.173,21.992223739624023,2
35.66667556762695,1743409425,,False,3,0b3dd_00007,2025-03-31_04-23-45,2.553912878036499,24.546136617660522,2575297,della-l04g13,172.17.6.173,24.546136617660522,3
9.918643951416016,1743409428,,False,4,0b3dd_00007,2025-03-31_04-23-48,2.5553460121154785,27.101482629776,2575297,della-l04g13,172.17.6.173,27.101482629776,4
7.137160778045654,1743409431,,False,5,0b3dd_00007,2025-03-31_04-23-51,2.5757455825805664,29.677228212356567,2575297,della-l04g13,172.17.6.173,29.677228212356567,5
4.586361408233643,1743409433,,False,6,0b3dd_00007,2025-03-31_04-23-53,2.485771656036377,32.162999868392944,2575297,della-l04g13,172.17.6.173,32.162999868392944,6
7.506390571594238,1743409435,,False,7,0b3dd_00007,2025-03-31_04-23-55,2.349207878112793,34.51220774650574,2575297,della-l04g13,172.17.6.173,34.51220774650574,7
8.773404121398926,1743409438,,False,8,0b3dd_00007,2025-03-31_04-23-58,2.343997001647949,36.85620474815369,2575297,della-l04g13,172.17.6.173,36.85620474815369,8
3.7344276905059814,1743409440,,False,9,0b3dd_00007,2025-03-31_04-24-00,2.3562755584716797,39.212480306625366,2575297,della-l04g13,172.17.6.173,39.212480306625366,9
5.642963409423828,1743409443,,False,10,0b3dd_00007,2025-03-31_04-24-03,2.5582973957061768,41.77077770233154,2575297,della-l04g13,172.17.6.173,41.77077770233154,10
4.839013576507568,1743409445,,False,11,0b3dd_00007,2025-03-31_04-24-05,2.438300609588623,44.209078311920166,2575297,della-l04g13,172.17.6.173,44.209078311920166,11
3.396543502807617,1743409447,,False,12,0b3dd_00007,2025-03-31_04-24-07,2.3993775844573975,46.60845589637756,2575297,della-l04g13,172.17.6.173,46.60845589637756,12
16.555456161499023,1743409450,,False,13,0b3dd_00007,2025-03-31_04-24-10,2.3630800247192383,48.9715359210968,2575297,della-l04g13,172.17.6.173,48.9715359210968,13
8.316654205322266,1743409453,,False,14,0b3dd_00007,2025-03-31_04-24-13,2.617974042892456,51.58950996398926,2575297,della-l04g13,172.17.6.173,51.58950996398926,14
7.471493721008301,1743409455,,False,15,0b3dd_00007,2025-03-31_04-24-15,2.6765458583831787,54.26605582237244,2575297,della-l04g13,172.17.6.173,54.26605582237244,15
3.498936176300049,1743409458,,False,16,0b3dd_00007,2025-03-31_04-24-18,2.7490251064300537,57.01508092880249,2575297,della-l04g13,172.17.6.173,57.01508092880249,16
3.967695951461792,1743409461,,False,17,0b3dd_00007,2025-03-31_04-24-21,2.5519659519195557,59.567046880722046,2575297,della-l04g13,172.17.6.173,59.567046880722046,17
4.2317328453063965,1743409463,,False,18,0b3dd_00007,2025-03-31_04-24-23,2.6088624000549316,62.17590928077698,2575297,della-l04g13,172.17.6.173,62.17590928077698,18
11.288002967834473,1743409466,,False,19,0b3dd_00007,2025-03-31_04-24-26,2.5671329498291016,64.74304223060608,2575297,della-l04g13,172.17.6.173,64.74304223060608,19
4.697940826416016,1743409468,,False,20,0b3dd_00007,2025-03-31_04-24-28,2.5099477767944336,67.25299000740051,2575297,della-l04g13,172.17.6.173,67.25299000740051,20
5.42460823059082,1743409478,,False,21,0b3dd_00007,2025-03-31_04-24-38,9.371702194213867,76.62469220161438,2575297,della-l04g13,172.17.6.173,76.62469220161438,21
6.644830226898193,1743409480,,False,22,0b3dd_00007,2025-03-31_04-24-40,2.7192087173461914,79.34390091896057,2575297,della-l04g13,172.17.6.173,79.34390091896057,22
3.5383641719818115,1743409483,,False,23,0b3dd_00007,2025-03-31_04-24-43,2.6383228302001953,81.98222374916077,2575297,della-l04g13,172.17.6.173,81.98222374916077,23
3.659100294113159,1743409486,,False,24,0b3dd_00007,2025-03-31_04-24-46,2.5546875,84.53691124916077,2575297,della-l04g13,172.17.6.173,84.53691124916077,24
